uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
10531---2499726,17,16,12,3,7,2,11,28,19,42,15,10,6,15,7,26,10,7,2,45,24,12,3,58,67,28,1,0,0,0,0,0,43,0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,26.061840779872853,0.0
10531---2499736,9,20,6,2,7,3,14,22,26,44,31,7,9,11,4,16,3,7,3,35,18,12,2,62,82,24,0,0,0,0,0,0,26,0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,25.469525334401613,1.0
10531---2499741,22,16,5,2,4,1,7,20,29,25,14,15,10,13,17,18,17,3,5,43,14,7,2,56,54,40,0,0,0,0,0,0,38,0,1.0,4.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,29.500106558369858,0.0
10531---2499757,17,12,12,2,3,6,11,20,31,25,11,7,22,16,12,15,16,13,5,41,9,11,0,62,43,50,0,0,0,0,0,0,44,0,3.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0,38.898938304723046,0.0
10531---2499766,11,16,13,5,3,1,11,21,19,32,22,11,14,10,12,23,8,5,0,40,28,9,1,51,65,36,0,0,0,0,0,2,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10531---2499777,11,27,28,3,2,3,8,33,19,37,29,14,7,26,12,13,16,9,6,66,7,8,0,60,80,45,0,0,0,0,0,0,38,0,1.0,3.0,2.0,0.0,6.0,0.0,3.0,2.0,1.0,26.927954424758074,2.0
10531---2499788,15,24,13,0,8,5,9,37,45,38,36,13,5,12,9,13,18,7,7,52,7,13,3,91,87,26,0,0,0,0,0,0,38,0,1.0,5.0,1.0,0.0,6.0,1.0,1.0,2.0,4.0,31.166127714085025,1.0
10531---2499796,6,23,9,2,4,5,9,22,45,32,34,19,7,20,11,15,18,16,1,38,15,11,1,76,85,38,1,0,0,0,0,0,49,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.02913073429028,0.0
10531---2499806,15,21,9,1,5,0,6,27,42,27,24,9,9,18,11,22,20,13,6,45,12,6,1,75,60,38,0,0,0,0,0,0,55,0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0,27.16331996524941,0.0
10531---2499810,17,11,15,3,5,1,13,29,17,30,5,4,17,8,7,22,9,4,2,43,17,9,1,59,39,32,0,0,0,0,0,0,35,0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,20.653323061113568,0.0
