,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,Smart_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Short Ratio,Middle Ratio,Long Ratio,average_pass_length,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio Ratio,Near Shots Ratio,Connectivity
10531---2499726,0.047619047619047616,0.08571428571428572,0.08571428571428572,0.780952380952381,213,0.14553990610328638,0.8497652582159625,0.004694835680751174,0.06060606060606061,0.9393939393939394,0.18518518518518517,0.8148148148148148,0.22988505747126436,0.7586206896551724,0.023474178403755867,0.09859154929577464,0.023474178403755867,0.19718309859154928,0.1596244131455399,0.023474178403755867,0.18779342723004694,0.20657276995305165,0.07981220657276995,0.14553990610328638,0.38028169014084506,0.47417840375586856,0.2676056338028169,0.323943661971831,0.4084507042253521,25.923929217996196,2.0,0.0,0.0,1.0,5.051282051282051
10531---2499736,0.029914529914529916,0.0811965811965812,0.0811965811965812,0.8076923076923077,237,0.1518987341772152,0.8396624472573839,0.008438818565400843,0.06741573033707865,0.9213483146067416,0.20930232558139536,0.7674418604651163,0.2,0.8,0.0379746835443038,0.06329113924050633,0.0379746835443038,0.20253164556962025,0.12236286919831224,0.0379746835443038,0.20253164556962025,0.189873417721519,0.10548523206751055,0.13924050632911392,0.3628691983122363,0.4978902953586498,0.37130801687763715,0.3206751054852321,0.3080168776371308,25.546511932062355,2.0,0.5,0.002109704641350211,0.0,5.461538461538462
10531---2499741,0.03404255319148936,0.07234042553191489,0.07234042553191489,0.8212765957446808,238,0.16806722689075632,0.8235294117647058,0.008403361344537815,0.15384615384615385,0.8307692307692308,0.10526315789473684,0.8947368421052632,0.20224719101123595,0.797752808988764,0.01680672268907563,0.07983193277310924,0.02100840336134454,0.19747899159663865,0.18067226890756302,0.025210084033613446,0.15966386554621848,0.2857142857142857,0.03361344537815126,0.11764705882352941,0.40336134453781514,0.4789915966386555,0.28991596638655465,0.31932773109243695,0.3907563025210084,26.409845375372633,1.0,0.0,0.0,1.0,5.576923076923077
10531---2499757,0.017921146953405017,0.07885304659498207,0.07526881720430108,0.8279569892473119,282,0.15602836879432624,0.8297872340425532,0.014184397163120567,0.09523809523809523,0.8761904761904762,0.20754716981132076,0.7735849056603774,0.18548387096774194,0.8145161290322581,0.024822695035460994,0.06028368794326241,0.06028368794326241,0.1950354609929078,0.13829787234042554,0.0425531914893617,0.2198581560283688,0.17375886524822695,0.0851063829787234,0.1453900709219858,0.375886524822695,0.4787234042553192,0.30141843971631205,0.3120567375886525,0.38652482269503546,26.052560170949395,1.0,0.0,0.0,1.0,5.589743589743589
10531---2499766,0.03067484662576687,0.10429447852760736,0.11042944785276074,0.754601226993865,166,0.23493975903614459,0.7530120481927711,0.012048192771084338,0.14473684210526316,0.8289473684210527,0.21428571428571427,0.7857142857142857,0.32894736842105265,0.6710526315789473,0.03614457831325301,0.09036144578313253,0.024096385542168676,0.25301204819277107,0.20481927710843373,0.012048192771084338,0.1686746987951807,0.16265060240963855,0.04819277108433735,0.15060240963855423,0.46987951807228917,0.3795180722891566,0.21084337349397592,0.25903614457831325,0.5301204819277109,30.24177958756472,1.0,0.0,0.0,1.0,4.285714285714286
10531---2499777,0.043824701195219126,0.07569721115537849,0.0796812749003984,0.8007968127490039,254,0.17716535433070865,0.8149606299212598,0.007874015748031496,0.15,0.85,0.3125,0.6458333333333334,0.14150943396226415,0.8584905660377359,0.047244094488188976,0.07480314960629922,0.051181102362204724,0.1889763779527559,0.1220472440944882,0.047244094488188976,0.18110236220472442,0.1968503937007874,0.09055118110236221,0.1732283464566929,0.35826771653543305,0.468503937007874,0.2992125984251969,0.30708661417322836,0.3937007874015748,26.79375598050529,2.0,0.0,0.001968503937007874,0.5,5.7032967032967035
10531---2499788,0.032362459546925564,0.10679611650485436,0.10679611650485436,0.7540453074433657,312,0.11538461538461539,0.8621794871794872,0.022435897435897436,0.0650887573964497,0.9112426035502958,0.1509433962264151,0.7924528301886793,0.18888888888888888,0.8111111111111111,0.01282051282051282,0.0673076923076923,0.03205128205128205,0.1346153846153846,0.1858974358974359,0.022435897435897436,0.14102564102564102,0.28846153846153844,0.11538461538461539,0.11217948717948718,0.34294871794871795,0.5448717948717948,0.34294871794871795,0.2980769230769231,0.358974358974359,23.792036870545488,1.0,0.0,0.003205128205128205,0.0,6.4945054945054945
10531---2499796,0.04054054054054054,0.11711711711711711,0.11711711711711711,0.7252252252252253,225,0.1288888888888889,0.8577777777777778,0.013333333333333334,0.13333333333333333,0.8666666666666667,0.047619047619047616,0.8809523809523809,0.1746031746031746,0.8253968253968254,0.022222222222222223,0.08888888888888889,0.057777777777777775,0.10222222222222223,0.2222222222222222,0.04,0.15555555555555556,0.2222222222222222,0.08888888888888889,0.1688888888888889,0.36444444444444446,0.4666666666666667,0.3377777777777778,0.29333333333333333,0.3688888888888889,25.775265060101425,3.0,0.0,0.002962962962962963,0.3333333333333333,5.912087912087912
10531---2499806,0.019867549668874173,0.10264900662251655,0.10264900662251655,0.7748344370860927,305,0.15081967213114755,0.8426229508196721,0.006557377049180328,0.11464968152866242,0.8789808917197452,0.18181818181818182,0.803030303030303,0.1951219512195122,0.8048780487804879,0.019672131147540985,0.04918032786885246,0.06885245901639345,0.1180327868852459,0.19672131147540983,0.04262295081967213,0.13114754098360656,0.26885245901639343,0.10491803278688525,0.1377049180327869,0.35737704918032787,0.5049180327868853,0.38688524590163936,0.30491803278688523,0.3081967213114754,25.59494798361044,9.0,0.5555555555555556,0.0007285974499089253,0.2222222222222222,7.34065934065934
10531---2499810,0.015463917525773196,0.061855670103092786,0.07216494845360824,0.8505154639175257,197,0.15736040609137056,0.8121827411167513,0.030456852791878174,0.08450704225352113,0.8450704225352113,0.15384615384615385,0.8076923076923077,0.21,0.79,0.04568527918781726,0.04060913705583756,0.03553299492385787,0.233502538071066,0.13705583756345177,0.015228426395939087,0.22842639593908629,0.18274111675126903,0.08121827411167512,0.1218274111675127,0.38578680203045684,0.49238578680203043,0.3248730964467005,0.29949238578680204,0.3756345177664975,23.64751167544703,3.0,0.3333333333333333,0.001692047377326565,0.3333333333333333,4.615384615384615
