uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
10531---2499726,4,6,3,0,3,1,4,19,11,15,11,5,1,8,3,12,10,6,1,13,8,4,1,34,31,12,1,0,0,0,0,0,28,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.911288039071213,0.0
10531---2499736,4,9,2,2,3,1,10,11,11,21,16,4,4,7,2,9,3,5,3,15,3,6,1,32,41,13,0,0,0,0,0,0,17,0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,25.469525334401613,1.0
10531---2499741,10,4,3,0,3,0,3,13,15,7,8,7,7,11,11,6,10,1,4,17,7,3,1,31,22,29,0,0,0,0,0,0,17,0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,34.35124730513753,0.0
10531---2499757,8,4,5,0,1,2,6,11,10,20,8,4,11,9,6,9,13,6,4,17,2,3,0,27,32,26,0,0,0,0,0,0,28,0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,43.27858167494671,0.0
10531---2499766,4,9,6,2,1,1,9,11,10,13,13,3,7,3,9,4,6,3,0,19,8,4,1,30,29,19,0,0,0,0,0,2,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10531---2499777,4,15,13,2,0,2,4,19,12,18,16,8,5,15,9,8,6,4,2,32,2,4,0,35,42,29,0,0,0,0,0,0,18,0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,22.389433914314544,1.0
10531---2499788,8,13,8,0,6,2,4,24,18,15,23,2,2,8,4,8,12,5,6,29,3,8,2,46,40,14,0,0,0,0,0,0,25,0,1.0,4.0,1.0,0.0,5.0,1.0,1.0,2.0,3.0,30.109082489864083,1.0
10531---2499796,1,6,3,0,3,2,8,16,22,17,19,10,6,13,5,11,12,8,1,10,8,5,0,46,46,24,1,0,0,0,0,0,31,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.02913073429028,0.0
10531---2499806,4,10,3,1,2,0,4,18,19,17,16,6,4,11,4,10,16,6,5,17,3,3,0,41,39,19,0,0,0,0,0,0,32,0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,27.0667163756985,0.0
10531---2499810,7,7,3,3,4,0,6,21,4,11,5,3,6,3,0,12,5,3,2,17,4,7,1,31,19,9,0,0,0,0,0,0,20,0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,20.653323061113568,0.0
