,in_poss_cluster0_min,in_poss_cluster0_25th_percentile,in_poss_cluster0_median,in_poss_cluster0_75th_percentile,in_poss_cluster0_max,in_poss_cluster0_mean,in_poss_cluster1_min,in_poss_cluster1_25th_percentile,in_poss_cluster1_median,in_poss_cluster1_75th_percentile,in_poss_cluster1_max,in_poss_cluster1_mean,in_poss_cluster2_min,in_poss_cluster2_25th_percentile,in_poss_cluster2_median,in_poss_cluster2_75th_percentile,in_poss_cluster2_max,in_poss_cluster2_mean,out_of_poss_cluster0_min,out_of_poss_cluster0_25th_percentile,out_of_poss_cluster0_median,out_of_poss_cluster0_75th_percentile,out_of_poss_cluster0_max,out_of_poss_cluster0_mean,out_of_poss_cluster1_min,out_of_poss_cluster1_25th_percentile,out_of_poss_cluster1_median,out_of_poss_cluster1_75th_percentile,out_of_poss_cluster1_max,out_of_poss_cluster1_mean,out_of_poss_cluster2_min,out_of_poss_cluster2_25th_percentile,out_of_poss_cluster2_median,out_of_poss_cluster2_75th_percentile,out_of_poss_cluster2_max,out_of_poss_cluster2_mean,trans_out_of_poss_cluster0_min,trans_out_of_poss_cluster0_25th_percentile,trans_out_of_poss_cluster0_median,trans_out_of_poss_cluster0_75th_percentile,trans_out_of_poss_cluster0_max,trans_out_of_poss_cluster0_mean,trans_out_of_poss_cluster1_min,trans_out_of_poss_cluster1_25th_percentile,trans_out_of_poss_cluster1_median,trans_out_of_poss_cluster1_75th_percentile,trans_out_of_poss_cluster1_max,trans_out_of_poss_cluster1_mean,trans_out_of_poss_cluster2_min,trans_out_of_poss_cluster2_25th_percentile,trans_out_of_poss_cluster2_median,trans_out_of_poss_cluster2_75th_percentile,trans_out_of_poss_cluster2_max,trans_out_of_poss_cluster2_mean,trans_poss_cluster0_min,trans_poss_cluster0_25th_percentile,trans_poss_cluster0_median,trans_poss_cluster0_75th_percentile,trans_poss_cluster0_max,trans_poss_cluster0_mean,trans_poss_cluster1_min,trans_poss_cluster1_25th_percentile,trans_poss_cluster1_median,trans_poss_cluster1_75th_percentile,trans_poss_cluster1_max,trans_poss_cluster1_mean,trans_poss_cluster2_min,trans_poss_cluster2_25th_percentile,trans_poss_cluster2_median,trans_poss_cluster2_75th_percentile,trans_poss_cluster2_max,trans_poss_cluster2_mean
0,0.0,0.0526315789473684,0.0835913312693498,0.1470588235294117,0.3947368421052631,0.1064396284829721,0.1578947368421052,0.3947368421052631,0.4736842105263157,0.6431888544891641,0.9736842105263158,0.5018575851393189,0.0263157894736842,0.29063467492260064,0.3947368421052631,0.4934210526315789,0.6842105263157895,0.391702786377709,0.0,0.088235294117647,0.131578947368421,0.23645510835913305,0.3421052631578947,0.15551083591331266,0.088235294117647,0.2631578947368421,0.2894736842105263,0.3421052631578947,0.5263157894736842,0.3021362229102167,0.2894736842105263,0.4473684210526316,0.5526315789473685,0.6280959752321982,0.7647058823529411,0.5423529411764706,0.1176470588235294,0.2894736842105263,0.3684210526315789,0.4473684210526316,0.6052631578947368,0.36219814241486065,0.0,0.09249226006191945,0.1842105263157894,0.23645510835913305,0.4210526315789473,0.17452012383900925,0.2105263157894736,0.3719040247678018,0.4721362229102166,0.5468266253869969,0.7058823529411765,0.46328173374613,0.0526315789473684,0.4210526315789473,0.5,0.5526315789473685,0.7894736842105263,0.4843034055727554,0.0789473684210526,0.29605263157894735,0.3885448916408668,0.5263157894736842,0.9473684210526316,0.4133746130030959,0.0,0.0526315789473684,0.0789473684210526,0.131578947368421,0.4117647058823529,0.10232198142414857
1,0.131578947368421,0.2368421052631578,0.3421052631578947,0.5,0.7368421052631579,0.3840778416629809,0.0,0.05572755417956655,0.1052631578947368,0.24999999999999994,0.3947368421052631,0.1515258735072976,0.1578947368421052,0.4078947368421052,0.4473684210526316,0.5526315789473685,0.7368421052631579,0.4643962848297213,0.0263157894736842,0.24999999999999994,0.2894736842105263,0.36068111455108354,0.5263157894736842,0.30747456877487833,0.2105263157894736,0.36068111455108354,0.4210526315789473,0.5,0.7368421052631579,0.42516585581601063,0.1052631578947368,0.1973684210526315,0.2894736842105263,0.3157894736842105,0.5263157894736842,0.267359575409111,0.1764705882352941,0.35526315789473684,0.4210526315789473,0.4736842105263157,0.6578947368421053,0.41517027863777084,0.0789473684210526,0.2631578947368421,0.2894736842105263,0.36068111455108354,0.5789473684210527,0.3111455108359133,0.131578947368421,0.1973684210526315,0.2368421052631578,0.35526315789473684,0.5294117647058824,0.27368421052631575,0.2894736842105263,0.4078947368421052,0.5294117647058824,0.6052631578947368,0.7105263157894737,0.5073861123396727,0.0,0.02786377708978325,0.0789473684210526,0.1578947368421052,0.3157894736842105,0.10371517027863773,0.1052631578947368,0.2368421052631578,0.4117647058823529,0.5263157894736842,0.6764705882352942,0.3888987173816895
2,0.5789473684210527,0.6842105263157895,0.7647058823529411,0.868421052631579,0.9210526315789472,0.7713741366992141,0.0,0.0,0.0,0.0,0.0789473684210526,0.012145748987854246,0.0789473684210526,0.131578947368421,0.2352941176470588,0.3157894736842105,0.3947368421052631,0.21648011431293163,0.131578947368421,0.3157894736842105,0.3421052631578947,0.3947368421052631,0.5526315789473685,0.3611574184329602,0.3684210526315789,0.4736842105263157,0.6052631578947368,0.631578947368421,0.7894736842105263,0.5710883543700881,0.0,0.0,0.0263157894736842,0.1052631578947368,0.2631578947368421,0.06775422719695164,0.3421052631578947,0.5263157894736842,0.6052631578947368,0.631578947368421,0.7105263157894737,0.5710883543700881,0.1578947368421052,0.2105263157894736,0.2894736842105263,0.4210526315789473,0.5,0.31436056203858054,0.0263157894736842,0.0526315789473684,0.131578947368421,0.1470588235294117,0.2631578947368421,0.11455108359133123,0.0263157894736842,0.0789473684210526,0.1578947368421052,0.2368421052631578,0.4473684210526316,0.16742081447963797,0.0,0.0,0.0,0.0,0.0526315789473684,0.006072874493927123,0.5526315789473685,0.7631578947368421,0.8235294117647058,0.9210526315789472,0.9736842105263158,0.8265063110264349
674,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947
675,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472
676,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.3421052631578947,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.9210526315789472
677,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.1842105263157894,0.1842105263157894,0.1842105263157894,0.1842105263157894,0.1842105263157894,0.1842105263157894
678,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.5,0.5,0.5,0.5,0.5,0.5,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.0789473684210526
679,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.3947368421052631,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
680,0.5,0.5,0.5,0.5,0.5,0.5,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2368421052631578,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.4736842105263157,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.5,0.5,0.5,0.5,0.5,0.5
